NL,LP,LN,CA
0,1.284038276,0.841811916,0
0,0.998727369,0.800044693,0
0,0,0,0.783085196
0,0,1.015434782,1.589784617
0,0,0.508437088,0
0,0.705159948,0,1.208573494
0,1.152143821,0.31716695,0
0,1.093021485,0.565441657,0
0,0,0,1.261401087
0,0.813089037,0.380683695,0
0,0,0,1.350915201
0.585520134,0,0.808852509,0
1.241625618,1.297346875,1.848485451,0
0,0.502951567,0,0
0,0.736386799,0,1.108033623
0,0.934082997,0,1.241975759
0,1.101420153,0.507435431,0
0,1.350138395,0.434143758,0
0,0,0.743606978,0
0,0.557385657,0.831025809,0.751982875
0,0,0,0
0,1.182005956,0.833888164,0
0.877257615,0,0.669607602,0.61367441
0.999757531,0,0.596138122,0
0,1.045808914,0.825651352,0
0,0,0,0
0,2.020251673,0.977542565,0
0.98051686,0.845852856,0,0
0,0,0.726267483,1.768665648
0,0,0,1.258326415
1.04033362,0,0,0
0,1.384684025,0,0
0.908767316,0,0,0
0,1.110485067,0.536449363,0.800044693
0,0.998781531,1.185240506,0
0,0,0.404053441,0
1.187362615,0.941269261,0.337515492,0
0,0.835364142,0.721071479,0.802482306
0,0,0,0
0,0,0,0
0,1.441702805,1.01291526,0
0,1.416829323,0.466180557,1.118882334
1.015996523,0,0,0.797622619
0,0.976294685,0.418902003,0.782225912
0,0,0,1.369835367
0.799505117,0,0.558386422,0.768224843
0,0,1.049353424,0
0.608035861,0.676640851,0,0
0,1.013641729,0,0
0,1.487988582,1.277294043,0
0,0.488215434,0.457560711,0.887135162
0,0.704745642,0,1.545537233
0,0,0,0
0,0.896307061,0.505809774,0
0,0,0,0.681938726
0,0,0.37806188,0.900708908
0,0.708597429,0,0
0,0,0.851625918,0.791106688
0,0,0,1.343611571
1.29119513,1.047607941,0.449711103,0
0,0.998456655,0,0
0.79675177,0,1.136631261,0
0,0,0.632826018,0
0,0,0.350787653,0.832050928
0.916891152,0,1.051619939,0
